Prosodic Collocational Patterns of ZAI and ZHENGZAI in classical Chinese,,,
Verbs,ZAI,ZHENGZAI,Number of syllables
一头说笑，一头作活,0,2,polysyllabic lexical items
一愣,0,7,disyllabic lexical items
七张火嘴,0,1,polysyllabic lexical items
上紧挑穵,0,1,polysyllabic lexical items
上紧挑穵使深,0,1,polysyllabic lexical items
上马,0,1,disyllabic lexical items
下棋,1,1,disyllabic lexical items
下船,0,1,disyllabic lexical items
不信,0,1,disyllabic lexical items
不分胜败,0,1,polysyllabic lexical items
不得主意,0,2,polysyllabic lexical items
不得开交,0,1,polysyllabic lexical items
不明不白,0,1,polysyllabic lexical items
不甚清楚,1,0,polysyllabic lexical items
不解,0,3,disyllabic lexical items
不解什么缘故,0,1,polysyllabic lexical items
专心学道,0,1,polysyllabic lexical items
专心尽力一拳一脚想将胡惠乾打死以泄机房中人之辱,0,1,polysyllabic lexical items
东张西望,0,2,polysyllabic lexical items
东睃西望,0,1,polysyllabic lexical items
严察挐究,0,1,polysyllabic lexical items
严限缉拿,0,1,polysyllabic lexical items
为难,0,49,disyllabic lexical items
为难发愁,0,1,polysyllabic lexical items
举事,0,1,disyllabic lexical items
举杯要饮,0,1,polysyllabic lexical items
乏食,0,1,disyllabic lexical items
乞言,0,1,disyllabic lexical items
习练武术,0,1,polysyllabic lexical items
乱喊,0,1,disyllabic lexical items
乱窜,0,1,disyllabic lexical items
乱藏,0,1,disyllabic lexical items
乱闯,0,1,disyllabic lexical items
争功,0,1,disyllabic lexical items
争斗,0,1,disyllabic lexical items
争论,0,4,disyllabic lexical items
云雨,0,1,disyllabic lexical items
交仗,0,1,disyllabic lexical items
交战,0,3,disyllabic lexical items
交手,0,3,disyllabic lexical items
交结不开,0,1,polysyllabic lexical items
交谈,0,1,disyllabic lexical items
交锋,1,1,disyllabic lexical items
人饥马渴,0,1,polysyllabic lexical items
付价给他,0,1,polysyllabic lexical items
代你踌躇,0,1,polysyllabic lexical items
仰慕,1,0,disyllabic lexical items
仰羨,1,0,disyllabic lexical items
仰观,0,1,disyllabic lexical items
企遲,0,1,disyllabic lexical items
伏侍盥洗,0,1,polysyllabic lexical items
伐柯,0,1,disyllabic lexical items
会商,1,0,disyllabic lexical items
传令毕,0,1,polysyllabic lexical items
传疑,0,1,disyllabic lexical items
传见一般司、道,0,1,polysyllabic lexical items
传观,0,1,disyllabic lexical items
伤心,0,4,disyllabic lexical items
伤悲,0,1,disyllabic lexical items
伤感,1,0,disyllabic lexical items
似睡非睡,0,2,polysyllabic lexical items
作书,1,0,disyllabic lexical items
作呻吟,1,0,polysyllabic lexical items
作急,0,1,disyllabic lexical items
作法,1,3,disyllabic lexical items
作画,0,1,disyllabic lexical items
作笑,0,1,disyllabic lexical items
作针线,0,1,polysyllabic lexical items
作难,0,4,disyllabic lexical items
你一刀，我一枪，杀得高兴,0,1,polysyllabic lexical items
你言我语,0,1,polysyllabic lexical items
使用,0,1,disyllabic lexical items
依恋,1,0,disyllabic lexical items
保守四城,1,0,polysyllabic lexical items
修工,0,1,disyllabic lexical items
修炼,0,1,disyllabic lexical items
修筑,0,1,disyllabic lexical items
候旨,2,0,disyllabic lexical items
倾听,0,1,disyllabic lexical items
偎倚,0,1,disyllabic lexical items
做什么,1,0,polysyllabic lexical items
做官,1,0,disyllabic lexical items
做梦,2,0,disyllabic lexical items
做沽名钓誉的人,1,0,polysyllabic lexical items
做法事,0,1,polysyllabic lexical items
做着七盏灯的《烈女传》,0,1,polysyllabic lexical items
做菜,0,1,disyllabic lexical items
偷油,1,0,disyllabic lexical items
偷看双人,1,0,polysyllabic lexical items
偷看那对过房间的客人,0,1,polysyllabic lexical items
催人寻觅军师众将来护救,0,1,polysyllabic lexical items
催兵前进,0,2,polysyllabic lexical items
催比,0,1,disyllabic lexical items
催督各军且战且走,0,1,polysyllabic lexical items
兑银子赔鹰,0,1,polysyllabic lexical items
关他举动,0,1,polysyllabic lexical items
关粮,0,1,disyllabic lexical items
关门,0,1,disyllabic lexical items
兴作,0,1,disyllabic lexical items
兴修,0,1,disyllabic lexical items
兴兵征伐,0,1,polysyllabic lexical items
兴工,0,1,disyllabic lexical items
兴筑,0,1,disyllabic lexical items
养病,0,1,disyllabic lexical items
写,0,1,monosyllabic lexical items
写好了几封信,0,1,polysyllabic lexical items
写字,0,1,disyllabic lexical items
冲冲大怒,0,1,polysyllabic lexical items
冲踹贼营,0,1,polysyllabic lexical items
净面吃茶,0,2,polysyllabic lexical items
凄惶,0,1,disyllabic lexical items
凝思,0,3,disyllabic lexical items
凝思打点主意,0,1,polysyllabic lexical items
凝神,0,4,disyllabic lexical items
凝神侧耳,0,1,polysyllabic lexical items
凝神细想,0,1,polysyllabic lexical items
凝神观望,0,2,polysyllabic lexical items
凝神观看,0,4,polysyllabic lexical items
凝视,0,1,disyllabic lexical items
出丧,0,1,disyllabic lexical items
出恭,0,1,disyllabic lexical items
出神,1,5,disyllabic lexical items
出神捣鬼,1,0,polysyllabic lexical items
出神细看,0,1,polysyllabic lexical items
分付,0,1,disyllabic lexical items
分付枪刀要锐利,0,1,polysyllabic lexical items
分别,0,1,disyllabic lexical items
分居,1,0,disyllabic lexical items
分布营垒,0,2,polysyllabic lexical items
分派,0,2,disyllabic lexical items
分派兵将,0,1,polysyllabic lexical items
分理事务,0,1,polysyllabic lexical items
分辩,0,1,disyllabic lexical items
前思後想,0,1,polysyllabic lexical items
前行观望,0,1,polysyllabic lexical items
力怯,0,1,disyllabic lexical items
劝善,1,0,disyllabic lexical items
劝善规过,0,1,polysyllabic lexical items
劝彩云饮酒,0,1,polysyllabic lexical items
劝慰李昆,0,1,polysyllabic lexical items
劝解,0,1,disyllabic lexical items
劝解他,0,1,polysyllabic lexical items
劝解钱文华不必伤感,0,1,polysyllabic lexical items
劝说,0,1,disyllabic lexical items
办,1,0,monosyllabic lexical items
办军务,1,0,polysyllabic lexical items
办撤任的折子,0,1,polysyllabic lexical items
办着大关,0,1,polysyllabic lexical items
加工搭盖,0,1,polysyllabic lexical items
加鞭,0,1,disyllabic lexical items
动工挑穵,0,1,polysyllabic lexical items
动怒,0,1,disyllabic lexical items
动手,1,7,disyllabic lexical items
动问那大姐阿毛,1,0,polysyllabic lexical items
劫夺,0,1,disyllabic lexical items
劫寨,0,1,disyllabic lexical items
劫抢该处村庄,0,1,polysyllabic lexical items
励精求治,0,1,polysyllabic lexical items
劳心,0,1,disyllabic lexical items
勉强,0,1,disyllabic lexical items
勉强支持,0,1,polysyllabic lexical items
勉强梳头,0,1,polysyllabic lexical items
勒马巡河,0,1,polysyllabic lexical items
化纸,0,1,disyllabic lexical items
升堂,0,1,disyllabic lexical items
升帐,0,1,disyllabic lexical items
升座玄谈,0,1,polysyllabic lexical items
升座说法,0,1,polysyllabic lexical items
半疑半信,0,1,polysyllabic lexical items
博证远引,0,1,polysyllabic lexical items
危坐养气,0,1,polysyllabic lexical items
卸妆要睡,0,2,polysyllabic lexical items
厮扭,0,2,disyllabic lexical items
厮斗不下,0,1,polysyllabic lexical items
厮杀,0,3,disyllabic lexical items
厮认,1,0,disyllabic lexical items
参究,0,1,disyllabic lexical items
参观,0,1,disyllabic lexical items
又气又羞,0,1,polysyllabic lexical items
发作起来,1,0,polysyllabic lexical items
发出光来,0,1,polysyllabic lexical items
发呆,0,3,disyllabic lexical items
发呕,0,1,disyllabic lexical items
发威,0,1,disyllabic lexical items
发怒,0,2,disyllabic lexical items
发怔,0,1,disyllabic lexical items
发急,0,1,disyllabic lexical items
发愁,0,3,disyllabic lexical items
发愣,0,12,disyllabic lexical items
发慌,0,2,disyllabic lexical items
发抖,0,2,disyllabic lexical items
发放,0,1,disyllabic lexical items
发放银钱,0,1,polysyllabic lexical items
发极,0,1,disyllabic lexical items
发烦,0,1,disyllabic lexical items
发狂,0,1,disyllabic lexical items
发疯,0,1,disyllabic lexical items
发笑,0,1,disyllabic lexical items
发脚追赶,0,1,polysyllabic lexical items
发货落船,0,1,polysyllabic lexical items
发躁,0,2,disyllabic lexical items
发闷,0,2,disyllabic lexical items
受礼,1,0,disyllabic lexical items
受罪,1,0,disyllabic lexical items
受苦,0,1,disyllabic lexical items
变,0,1,monosyllabic lexical items
变通,1,0,disyllabic lexical items
叙些客套,0,1,polysyllabic lexical items
叙论,0,1,disyllabic lexical items
叙话,0,2,disyllabic lexical items
叙话得浓,0,1,polysyllabic lexical items
叙说,0,1,disyllabic lexical items
叙谈,0,1,disyllabic lexical items
叙阔,0,1,disyllabic lexical items
口出狂言大话,0,1,polysyllabic lexical items
叫,1,0,monosyllabic lexical items
叫不开,0,2,polysyllabic lexical items
叫人上楼,0,1,polysyllabic lexical items
叫唤,1,0,disyllabic lexical items
叫城,0,1,disyllabic lexical items
叫天天不语，叫地地不应,0,1,polysyllabic lexical items
叵測,0,1,disyllabic lexical items
号啕大哭,0,1,polysyllabic lexical items
叹异,0,1,disyllabic lexical items
叹息,0,2,disyllabic lexical items
叹气,0,1,disyllabic lexical items
叹赏,0,1,disyllabic lexical items
叹赏不绝,0,1,polysyllabic lexical items
吃个合卺之酒,0,1,polysyllabic lexical items
吃人,1,0,disyllabic lexical items
吃夜饭,1,0,polysyllabic lexical items
吃完了饭,0,1,polysyllabic lexical items
吃得高兴,0,1,polysyllabic lexical items
吃惊,0,1,disyllabic lexical items
吃早饭,0,1,polysyllabic lexical items
吃点心,0,1,polysyllabic lexical items
吃粪,0,1,disyllabic lexical items
吃羊,0,1,disyllabic lexical items
吃茶,0,5,disyllabic lexical items
吃药,0,1,disyllabic lexical items
吃补药,1,0,polysyllabic lexical items
吃酒,0,11,disyllabic lexical items
吃酒谈心,0,1,polysyllabic lexical items
吃醋,0,1,disyllabic lexical items
吃饭,1,1,disyllabic lexical items
各说其事,0,1,polysyllabic lexical items
吆吆喝喝,0,1,polysyllabic lexical items
吊孝,1,0,disyllabic lexical items
后悔自己方才在庙上不合一时粗心,0,1,polysyllabic lexical items
后悔自己方才在庙上不合一时粗心不曾认出他那个假面目来,0,1,polysyllabic lexical items
吐舌称异,0,2,polysyllabic lexical items
吞声饮泣,0,1,polysyllabic lexical items
吟咏,0,1,disyllabic lexical items
吟笺,1,0,disyllabic lexical items
吟罢酒令,0,1,polysyllabic lexical items
吩咐,0,3,disyllabic lexical items
吩咐伙计将店内暂闭,0,1,polysyllabic lexical items
吩咐收生,0,1,polysyllabic lexical items
含着眼泪,0,1,polysyllabic lexical items
含羞,1,0,disyllabic lexical items
含颦,0,1,disyllabic lexical items
听下面那位老英雄道姓名,0,1,polysyllabic lexical items
听审,3,0,disyllabic lexical items
听得出神,0,1,polysyllabic lexical items
听得有些入神儿,0,2,polysyllabic lexical items
听得诧异,0,1,polysyllabic lexical items
