Prosodic Collocational Patterns of ZAI and ZHENGZAI in modern Chinese,,,,
Verbs,ZAI,ZHENGZAI,Number of syllables,
搭车,1,0,disyllabic lexical items,
“帮助”别人,1,0,polysyllabic lexical items,
“等活”,2,0,polysyllabic lexical items,
“讨论”什么问题,0,1,polysyllabic lexical items,
“玩朋友”,1,0,polysyllabic lexical items,
挨打,1,0,disyllabic lexical items,
挨饿,2,0,disyllabic lexical items,
挨饿受冻,1,0,polysyllabic lexical items,
关心,0,1,disyllabic lexical items,
关心、培养自己,1,0,polysyllabic lexical items,
关心过去这四年您在谷歌,1,0,polysyllabic lexical items,
关心那些把他视为救星的山区孩子们,1,0,polysyllabic lexical items,
关心那些东西,1,0,polysyllabic lexical items,
关心她,1,0,polysyllabic lexical items,
关心这种事,1,0,polysyllabic lexical items,
关心重庆饭店,1,0,polysyllabic lexical items,
安排“全球战略”新步骤,1,0,polysyllabic lexical items,
安排抢救工作,0,1,polysyllabic lexical items,
安排巧计动你的手,0,2,polysyllabic lexical items,
安排研究和创作的良好环境,0,1,polysyllabic lexical items,
安排重印作业,0,1,polysyllabic lexical items,
安排猪肉的供应,1,0,polysyllabic lexical items,
安慰,2,0,disyllabic lexical items,
安慰丁仪,1,0,polysyllabic lexical items,
安慰淑英,1,0,polysyllabic lexical items,
安慰他,1,0,polysyllabic lexical items,
安慰她,1,0,polysyllabic lexical items,
安慰她的良心,1,0,polysyllabic lexical items,
安慰我,2,0,polysyllabic lexical items,
安慰一个因为没有放起自己制作的风筝而哭哭啼啼的小弟弟,1,0,polysyllabic lexical items,
安慰自己,1,0,polysyllabic lexical items,
安装,1,1,disyllabic lexical items,
安装国产亚洲最大的石英钟,0,1,polysyllabic lexical items,
安装机器设备,0,1,polysyllabic lexical items,
安装墙壁、门板,0,1,polysyllabic lexical items,
按著肚子,1,0,polysyllabic lexical items,
暗示,3,0,disyllabic lexical items,
暗示读者,1,0,polysyllabic lexical items,
暗示什么,2,0,polysyllabic lexical items,
暗示我把她估计得太神秘,1,0,polysyllabic lexical items,
