The collocation tendency of ZAI with different situation types,,
Verbs,Situation Type,ZHE
上,Activity,5
下,Activity,69
丢,Activity,5
丰富,Activity,2
串,Activity,9
主持,Activity,4
举,Activity,208
举行,Activity,5
乘,Activity,7
买,Activity,15
了解,Activity,1
争吵,Activity,5
争夺,Activity,8
争论,Activity,6
交,Activity,3
交代,Activity,5
交换,Activity,12
交流,Activity,10
产生,Transition,7
享受,Activity,50
亲,Activity,12
介绍,Activity,30
代替,Activity,2
代表,State,50
企图,State,1
休养,Activity,1
休息,Activity,5
传,Activity,11
伸,Activity,139
住,Activity,212
体会,Activity,1
体现,State,15
作,Activity,39
佩服,State,1
使,State,13
使唤,Activity,2
使用,Activity,8
依傍,Activity,1
依赖,State,1
依靠,Activity,7
保卫,Activity,9
保守,State,1
保护,Activity,29
保持,State,214
保留,Activity,35
保证,State,1
信,State,3
信任,State,1
修,Activity,3
修理,Activity,3
倒,Activity,25
假装,Activity,6
做,Activity,182
停,Activity,78
停止,Transition,4
停留,Activity,5
停顿,State,1
偷,Activity,70
催,Activity,110
像,State,9
关,Activity,66
关心,State,27
具备,State,5
养,Activity,57
养活,State,9
冒,Activity,376
写,Activity,626
冲,Activity,23
冲突,Activity,1
决定,Transition,9
冻,Activity,9
准备,Activity,93
凑,Activity,20
出,Activity,14
出现,Transition,3
凿,Activity,2
分,Activity,9
分析,Activity,13
分配,Activity,1
切,Activity,12
划,Activity,17
创造,Transition,2
判断,Activity,20
利用,Activity,3
刮,Activity,60
制定,Activity,1
刷,Activity,9
刺激,Activity,13
削弱,Transition,1
前进,Activity,14
剔,Activity,1
剥削,Activity,2
剩,Activity,11
剪,Activity,22
割,Activity,18
劈,Activity,1
劝,Activity,27
劝解,Activity,3
办,Activity,7
加,Activity,10
加强,Transition,5
动,Activity,59
动员,Activity,1
劳动,Activity,16
勾下,Transition,1
包,Activity,56
包围,Activity,54
升,Activity,5
卖,Activity,2
占有,Activity,2
占满,Transition,1
占领,Activity,4
印,Activity,100
卷,Activity,22
压,Activity,96
压低,Transition,3
压迫,Activity,23
原谅,Transition,1
去,Transition,7
叉开,Transition,2
反抗,Activity,3
反映,Activity,22
反省,Activity,1
发,Activity,227
发展,Activity,48
发挥,Activity,49
发现,Transition,1
发生,Transition,26
取,Activity,4
受,Activity,147
变,Activity,6
变化,Activity,14
叙述,Activity,9
叠,Activity,24
叩响,Transition,1
叫,Activity,468
号召,Activity,2
叹,Activity,30
吃,Activity,303
吐,Activity,61
吞,Activity,4
听,Activity,1072
吵,Activity,52
吸,Activity,199
吸引,Activity,60
吸饱,Transition,1
吹,Activity,176
告诉,Transition,4
呼吸,Activity,14
呼唤,Activity,31
咬,Activity,397
咳嗽,Activity,17
咽,Activity,13
哄,Activity,42
响,Activity,305
哑,Activity,22
哭,Activity,338
唱,Activity,213
啃,Activity,20
商量,Activity,65
喂,Activity,10
喊,Activity,453
喘,Activity,152
喜欢,State,1
喝,Activity,197
喷,Activity,92
