The usage of ZAI and ZHENGZAI in classical Chinese and modern Chinese,,,
Verbs,Time,ZAI,ZHENGZAI
‘磋商’什么,modern Chinese（1920-2020）,1,0
“围攻英国”,modern Chinese（1920-2020）,0,1
“帮助”别人,modern Chinese（1920-2020）,1,0
“扫黄”,modern Chinese（1920-2020）,1,0
“杀价竞争”,modern Chinese（1920-2020）,1,0
“浏览”我,modern Chinese（1920-2020）,1,0
“玩朋友”,modern Chinese（1920-2020）,1,0
“白搭车”,modern Chinese（1920-2020）,1,0
“等活”,modern Chinese（1920-2020）,2,0
“讨论”什么问题,modern Chinese（1920-2020）,0,1
一边吸烟一边翻着书,modern Chinese（1920-2020）,0,1
一边溜达一边啃草,modern Chinese（1920-2020）,1,0
一边研读特务头子戴笠的事迹，一边欣赏着收音机里的音乐,modern Chinese（1920-2020）,0,1
一边纳鞋底一边拉闲话,modern Chinese（1920-2020）,1,0
一面生产一面修整,modern Chinese（1920-2020）,0,1
丈量他的良心,modern Chinese（1920-2020）,1,0
上仰,modern Chinese（1920-2020）,1,0
上俄文课,modern Chinese（1920-2020）,0,1
上公开课,modern Chinese（1920-2020）,0,1
上升,modern Chinese（1920-2020）,18,5
上吊,modern Chinese（1920-2020）,1,0
上大学,modern Chinese（1920-2020）,0,2
上大学四年级,modern Chinese（1920-2020）,0,1
上学,modern Chinese（1920-2020）,1,1
上客,modern Chinese（1920-2020）,1,0
上小学,modern Chinese（1920-2020）,0,1
上工,modern Chinese（1920-2020）,1,0
上市,modern Chinese（1920-2020）,0,2
上涨,modern Chinese（1920-2020）,12,0
上演,modern Chinese（1920-2020）,2,3
上演一场深刻的变革,modern Chinese（1920-2020）,0,1
上演新片,modern Chinese（1920-2020）,1,0
上煤,modern Chinese（1920-2020）,0,1
上班,modern Chinese（1920-2020）,9,0
上班和下班,modern Chinese（1920-2020）,1,0
上组抢救,modern Chinese（1920-2020）,0,1
上网,modern Chinese（1920-2020）,1,0
上船,modern Chinese（1920-2020）,0,1
上菜,modern Chinese（1920-2020）,0,1
上课,modern Chinese（1920-2020）,1,5
上车,modern Chinese（1920-2020）,1,2
上辅导班,modern Chinese（1920-2020）,1,0
上长,modern Chinese（1920-2020）,1,0
上鞍子,modern Chinese（1920-2020）,1,0
下,modern Chinese（1920-2020）,6,1
下什么棋,modern Chinese（1920-2020）,2,0
下令,modern Chinese（1920-2020）,0,1
下决心,modern Chinese（1920-2020）,1,0
下围棋,modern Chinese（1920-2020）,1,1
下垂,modern Chinese（1920-2020）,1,0
下大雨,modern Chinese（1920-2020）,1,0
下工夫,modern Chinese（1920-2020）,1,0
下棋,modern Chinese（1920-2020）,4,2
下沉,modern Chinese（1920-2020）,2,4
下沟,modern Chinese（1920-2020）,0,1
下滑,modern Chinese（1920-2020）,3,0
下滑失落,modern Chinese（1920-2020）,0,1
下火车,modern Chinese（1920-2020）,1,0
下着,modern Chinese（1920-2020）,6,0
下着铺门板,modern Chinese（1920-2020）,1,0
下神,modern Chinese（1920-2020）,0,1
下象棋,modern Chinese（1920-2020）,1,1
下跌,modern Chinese（1920-2020）,3,2
下跳棋,modern Chinese（1920-2020）,1,0
下车,modern Chinese（1920-2020）,0,1
下逐客令,modern Chinese（1920-2020）,1,0
下降,modern Chinese（1920-2020）,15,1
