The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
求妻,the Yuan Dynasty,1,0
猎畋,the Yuan Dynasty,1,0
挥毫,the Yuan Dynasty,1,0
烧火,the Yuan Dynasty,1,0
空踌躇,the Yuan Dynasty,1,0
逃,the Yuan Dynasty,6,0
逡巡,the Yuan Dynasty,2,0
愁,the Yuan Dynasty,1,0
思虑,the Yuan Dynasty,1,0
飄零,the Yuan Dynasty,1,0
吟笺,the Yuan Dynasty,1,0
耦耕,the Yuan Dynasty,1,0
落后,the Ming Dynasty,1,0
捱,the Ming Dynasty,1,0
按求古迹,the Ming Dynasty,1,0
部署,the Ming Dynasty,2,0
扯呼,the Ming Dynasty,2,0
沉吟,the Ming Dynasty,2,0
吃人,the Ming Dynasty,1,0
筹度,the Ming Dynasty,1,0
出神,the Ming Dynasty,1,0
忖个计策,the Ming Dynasty,1,0
打呼,the Ming Dynasty,1,0
捣,the Ming Dynasty,1,0
等待,the Ming Dynasty,1,0
颠沛,the Ming Dynasty,1,0
吊孝,the Ming Dynasty,1,0
读书,the Ming Dynasty,2,0
对阵,the Ming Dynasty,1,0
发作起来,the Ming Dynasty,1,0
纺织,the Ming Dynasty,1,0
放船,the Ming Dynasty,1,0
奉承他,the Ming Dynasty,1,0
服丧,the Ming Dynasty,1,0
服役,the Ming Dynasty,1,0
鬼弄,the Ming Dynasty,1,0
害病,the Ming Dynasty,1,0
呼,the Ming Dynasty,1,0
将计就计,the Ming Dynasty,1,0
讲话,the Ming Dynasty,2,0
交锋,the Ming Dynasty,1,0
进膳,the Ming Dynasty,1,0
开花,the Ming Dynasty,1,0
哭,the Ming Dynasty,2,0
响雷,the Ming Dynasty,1,0
蒙尘,the Ming Dynasty,1,0
磨面,the Ming Dynasty,1,0
说法,the Ming Dynasty,1,0
说那个三太子有几枝火箭利害,the Ming Dynasty,1,0
说父王肯不肯,the Ming Dynasty,1,0
说个破敌之策是怎么样儿,the Ming Dynasty,1,0
说些邪活,the Ming Dynasty,1,0
念,the Ming Dynasty,6,0
念佛,the Ming Dynasty,1,0
念经,the Ming Dynasty,1,0
跑,the Ming Dynasty,1,0
欺人,the Ming Dynasty,1,0
劝善,the Ming Dynasty,1,0
审问,the Ming Dynasty,1,0
狩,the Ming Dynasty,1,0
梳头,the Ming Dynasty,2,0
说话,the Ming Dynasty,1,0
厮认,the Ming Dynasty,1,0
速行,the Ming Dynasty,1,0
算计射别人,the Ming Dynasty,1,0
算计黄凤仙,the Ming Dynasty,1,0
